47.94.230.42,9999
117.90.252.85,9000
119.145.136.126,8888
119.101.114.203,9999
119.101.117.6,9999
193.112.88.59,10001
101.132.174.110,8088
39.107.84.185,8123
180.118.128.20,9000
119.101.113.235,9999
119.101.115.44,9999
175.25.26.185,25019
183.147.209.36,9000
115.223.216.134,9000
122.243.15.27,9000
183.147.28.134,9000
119.101.113.212,9999
113.105.202.228,3128
223.241.119.226,8010
45.125.32.181,3128
182.111.64.8,53364
116.62.134.173,9999
111.177.168.240,9999
180.110.5.59,3128
119.101.116.195,9999
114.112.70.150,43887
47.104.74.174,8118
121.232.148.82,9000
180.118.135.100,9000
119.101.112.216,9999
119.176.51.135,53281
121.228.50.134,3128
118.24.156.214,8118
180.118.128.74,9000
110.52.234.161,9999
117.114.149.66,53281
119.39.238.234,9999
59.37.33.62,50686
121.225.26.180,3128
118.25.42.197,8118
112.17.38.135,3128
139.196.76.27,8118
120.77.210.81,80
119.101.113.126,9999
113.6.208.182,30463
110.52.234.198,9999
163.125.233.81,8118
114.235.23.245,9000
113.105.202.226,3128
115.218.217.193,9000
121.232.148.35,9000
183.147.208.134,9000
180.119.65.93,3128
47.96.148.248,8118
115.223.235.90,9000
180.118.86.169,9000
115.218.218.90,9000
115.211.38.206,9000
113.105.203.126,3128
115.223.198.116,9000
115.223.198.116,9000
115.223.206.79,9000
175.161.5.89,9000
115.218.222.16,9000
115.213.234.36,9000
180.110.7.105,3128
115.210.29.158,9000
115.213.246.146,9000
49.81.125.57,9000
121.31.193.15,8123
180.110.4.29,3128
113.105.202.166,3128
123.131.6.231,9000
117.90.4.50,9000
182.88.134.204,8123
117.28.96.156,808
115.218.221.222,9000
113.105.201.193,3128
121.228.48.95,3128
119.127.17.162,3128
183.154.220.191,9000
175.175.218.225,1133
115.218.218.8,9000
117.87.178.54,9000
115.223.202.90,9000
175.161.26.148,9000
125.117.133.192,9000
183.147.29.4,9000
60.182.22.171,9000
180.104.62.186,9000
125.117.132.89,9000
117.90.252.225,9000
115.223.219.39,9000
223.241.116.112,8010
180.110.6.161,3128
115.223.203.184,9000
115.223.253.70,9000
115.223.199.181,9000
115.213.246.223,9000
115.223.207.41,9000
115.218.223.160,9000
219.159.38.204,56210
115.223.238.2,9000
221.229.18.246,3128
115.238.59.86,60635
119.101.113.178,9999
119.101.116.166,9999
121.232.148.196,9000
221.11.105.69,56120
140.207.25.114,56954
111.177.168.155,9999
121.232.194.100,9000
203.93.125.238,31566
113.128.11.66,9999
180.110.4.102,3128
121.232.148.60,9000
59.37.33.62,50686
123.57.84.116,8118
119.101.113.240,9999
119.101.113.36,9999
